"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.702145150E-1,3.629999980E-2,-1.709999889E-2,1.279999912E-1,1.341420802E-1
9.801410770E-1,2.939999849E-2,4.899999872E-2,1.834999919E-1,1.921915888E-1
9.900676400E-1,-4.859999940E-2,1.162999943E-1,3.166999817E-1,3.408614484E-1
9.999926400E-1,-1.212999970E-1,2.597000003E-1,5.001000166E-1,5.764180827E-1
1.009919202E0,-2.129999921E-2,2.255999893E-1,4.093999863E-1,4.679288342E-1
1.019845765E0,1.326999962E-1,2.091999948E-1,1.921999902E-1,3.135518506E-1
1.029772327E0,2.173999995E-1,1.811999977E-1,1.480000000E-2,2.833994335E-1
1.039698890E0,2.260999978E-1,2.017999887E-1,-1.428000033E-1,3.350168434E-1
1.049625452E0,1.952999979E-1,2.228999883E-1,-2.417999953E-1,3.824836359E-1
1.059552015E0,1.569999903E-1,1.881999969E-1,-6.740000099E-2,2.541869311E-1
1.069478577E0,6.520000100E-2,1.449999958E-1,2.243999988E-1,2.750116332E-1
1.079403577E0,-9.820000082E-2,8.449999988E-2,4.862999916E-1,5.032605409E-1
1.089330140E0,-3.145000041E-1,1.539999992E-2,5.615999699E-1,6.438493137E-1
1.099256702E0,-3.637000024E-1,-1.244999990E-1,4.120999873E-1,5.635639636E-1
1.109183265E0,-3.577999771E-1,-1.844999939E-1,3.402999938E-1,5.271291655E-1
1.119109827E0,-4.351999760E-1,-2.351000011E-1,3.957999945E-1,6.335050633E-1
1.129036390E0,-5.845999718E-1,-3.024999797E-1,5.776000023E-1,8.757197767E-1
1.138961390E0,-8.090999722E-1,-4.287999868E-1,6.808999777E-1,1.141112165E0
1.148887952E0,-9.029999971E-1,-5.083000064E-1,7.357999682E-1,1.270897118E0
1.158814515E0,-1.006099939E0,-5.812999606E-1,4.682999849E-1,1.252777557E0
1.168770765E0,-8.508999944E-1,-6.295999885E-1,4.276999831E-1,1.141645401E0
1.178667640E0,-8.022999763E-1,-6.243999600E-1,3.400000036E-1,1.071989069E0
1.188594202E0,-8.934999704E-1,-6.212999821E-1,2.533999979E-1,1.117393138E0
1.198520765E0,-8.369999528E-1,-6.229000092E-1,1.294000000E-1,1.051340907E0
1.208445765E0,-6.130999923E-1,-6.667000055E-1,-3.240000084E-2,9.063278976E-1
1.218372327E0,-4.242999852E-1,-6.556999683E-1,3.399999812E-3,7.810150356E-1
1.228298890E0,-3.324999809E-1,-5.633999705E-1,7.750000060E-2,6.587731128E-1
1.238225452E0,-3.096999824E-1,-5.138999820E-1,1.233999953E-1,6.125641431E-1
1.248152015E0,-4.512999952E-1,-4.400999844E-1,-4.459999874E-2,6.319405366E-1
1.258078577E0,-6.416000128E-1,-4.017999768E-1,-5.180000067E-1,9.172882888E-1
1.268003577E0,-6.872999668E-1,-4.135999978E-1,-9.711999893E-1,1.259633130E0
1.277930140E0,-7.324999571E-1,-3.802999854E-1,-1.338099957E0,1.572162765E0
1.287856702E0,-7.762999535E-1,-3.373000026E-1,-1.580999970E0,1.793313641E0
1.297783265E0,-6.601999998E-1,-2.922999859E-1,-1.494699955E0,1.659949179E0
1.307708265E0,-3.362999856E-1,-1.754999906E-1,-1.079599977E0,1.144305045E0
1.317634827E0,-6.799999624E-3,-9.209999442E-2,-7.971000075E-1,8.024319728E-1
1.327561390E0,6.037999988E-1,1.519999932E-2,-7.281999588E-1,9.460870248E-1
1.337487952E0,1.049399972E0,2.243999988E-1,-6.438999772E-1,1.251480260E0
1.347412952E0,1.437600017E0,4.396999776E-1,-2.280000001E-1,1.520530788E0
1.357339515E0,1.804499984E0,6.387999654E-1,3.631999791E-1,1.948383898E0
1.367266077E0,2.006899834E0,8.500999808E-1,1.041899920E0,2.415755029E0
1.377192640E0,2.107300043E0,1.107800007E0,1.783299923E0,2.974574414E0
1.387119202E0,2.411299944E0,1.352699995E0,2.480000019E0,3.714103498E0
1.397045765E0,2.849499941E0,1.686899900E0,3.163300037E0,4.579492146E0
1.406972327E0,3.316099882E0,1.815199971E0,3.686800003E0,5.280526832E0
1.416897327E0,3.669499874E0,1.805699944E0,4.285399914E0,5.923717923E0
1.426825452E0,3.580299854E0,1.826699972E0,4.775599957E0,6.241933577E0
1.436752015E0,3.224999905E0,1.753600001E0,4.845900059E0,6.079349038E0
1.446677015E0,2.909099817E0,1.653299928E0,4.605000019E0,5.692300728E0
1.456605140E0,2.648299932E0,1.573599935E0,4.097199917E0,5.126085880E0
1.466530140E0,2.328199863E0,1.485099912E0,3.519500017E0,4.473579855E0
1.476456702E0,2.016700029E0,1.507799983E0,3.219300032E0,4.087105637E0
1.486383265E0,1.891999960E0,1.653599977E0,2.983599901E0,3.900759555E0
1.496309827E0,1.936399937E0,1.693099976E0,2.839499950E0,3.831317294E0
1.506234827E0,1.996599913E0,1.718899965E0,2.882299900E0,3.904955956E0
1.516161390E0,2.055299997E0,1.791099906E0,3.081300020E0,4.114207915E0
1.526087952E0,2.167099953E0,1.784799933E0,3.326799870E0,4.353094345E0
1.536014515E0,2.485699892E0,1.559899926E0,3.419899940E0,4.506407365E0
1.545941077E0,2.899699926E0,1.239899993E0,3.126899958E0,4.441071380E0
1.555867640E0,3.023200035E0,8.618999720E-1,2.709800005E0,4.150376619E0
1.565792640E0,2.988600016E0,5.636999607E-1,2.513799906E0,3.945716369E0
1.575719202E0,2.893800020E0,3.955000043E-1,2.492699862E0,3.839798355E0
1.585645765E0,2.813899994E0,1.509999931E-1,2.508499861E0,3.772718612E0
1.595572327E0,2.864099979E0,-2.628000081E-1,2.397300005E0,3.744219525E0
1.605498890E0,2.780599833E0,-7.046999931E-1,1.837199926E0,3.406411760E0
1.615423890E0,2.545099974E0,-1.105199933E0,9.175999761E-1,2.922497303E0
1.625350452E0,2.068399906E0,-1.468599916E0,-7.930000126E-2,2.537981949E0
1.635277015E0,1.437899947E0,-1.776699901E0,-8.944999576E-1,2.454454923E0
1.645203577E0,7.055000067E-1,-1.970799923E0,-1.419299960E0,2.529069982E0
1.655130140E0,1.756999940E-1,-2.107499838E0,-1.762899995E0,2.753224009E0
1.665056702E0,-7.530000061E-2,-2.233399868E0,-1.813300014E0,2.877812016E0
1.674983265E0,-1.771000028E-1,-2.313499928E0,-1.725499988E0,2.891538783E0
1.684908265E0,-2.182999998E-1,-2.427700043E0,-1.705799937E0,2.975085850E0
1.694836390E0,-1.200999990E-1,-2.481199980E0,-1.659399986E0,2.987371029E0
1.704762952E0,2.169999853E-2,-2.449100018E0,-1.738899946E0,3.003720162E0
1.714687952E0,1.416999996E-1,-2.493599892E0,-1.836899996E0,3.100374317E0
1.724614515E0,4.120000079E-2,-2.463599920E0,-1.891499996E0,3.106250834E0
1.734541077E0,-2.347999960E-1,-2.409899950E0,-1.963199973E0,3.117194723E0
1.744467640E0,-5.080000162E-1,-2.470599890E0,-2.082999945E0,3.271210266E0
1.754392640E0,-6.611999869E-1,-2.561199903E0,-2.203099966E0,3.442467114E0
1.764320765E0,-8.077999949E-1,-2.671799898E0,-2.274099827E0,3.600359086E0
1.774245765E0,-9.333999753E-1,-2.753099918E0,-2.324499846E0,3.722108839E0
1.784172327E0,-1.072299957E0,-2.768499851E0,-2.296000004E0,3.753136640E0
1.794098890E0,-1.217399955E0,-2.843999863E0,-2.253099918E0,3.827121256E0
1.804025452E0,-1.503899932E0,-2.866099834E0,-2.280099869E0,3.959179041E0
1.813952015E0,-1.894999981E0,-2.825700045E0,-2.282399893E0,4.096944586E0
1.823878577E0,-2.313999891E0,-2.723700047E0,-2.216899872E0,4.205684544E0
1.833805140E0,-2.679800034E0,-2.804499865E0,-2.186199903E0,4.452641657E0
1.843731702E0,-2.987200022E0,-2.953999996E0,-2.287799835E0,4.783670979E0
1.853656702E0,-3.381099939E0,-2.984999895E0,-2.398499966E0,5.108313152E0
1.863583265E0,-3.667599916E0,-3.107199907E0,-2.682600021E0,5.504754607E0
1.873509827E0,-3.675799847E0,-3.348099947E0,-3.154899836E0,5.888520250E0
1.883436390E0,-3.633499861E0,-3.791399956E0,-3.656199932E0,6.398814953E0
1.893362952E0,-3.797199965E0,-4.327499866E0,-3.924999952E0,6.967898341E0
1.903287952E0,-4.572799683E0,-4.820399761E0,-3.943799973E0,7.726597506E0
1.913214515E0,-6.023599625E0,-5.210299969E0,-3.742399931E0,8.799803148E0
1.923141077E0,-7.159399986E0,-5.452199936E0,-3.622399807E0,9.700787219E0
1.933067640E0,-7.763499737E0,-5.680099964E0,-3.390100002E0,1.019942360E1
1.942994202E0,-7.716899872E0,-5.964499950E0,-2.995100021E0,1.020276568E1
1.952920765E0,-7.365999699E0,-6.106599808E0,-2.358000040E0,9.854373494E0
1.962845765E0,-6.679399967E0,-6.274099827E0,-1.659399986E0,9.313018891E0
1.972772327E0,-5.779399872E0,-6.442699909E0,-1.020300031E0,8.714978896E0
1.982698890E0,-5.008100033E0,-6.540499687E0,-2.858999968E-1,8.242629490E0
1.992625452E0,-4.615099907E0,-6.540400028E0,2.480999976E-1,8.008591217E0
2.002552015E0,-4.164299965E0,-6.585999966E0,7.185999751E-1,7.825162980E0
2.012478577E0,-3.510999918E0,-6.603199959E0,1.023900032E0,7.548360179E0
2.022403577E0,-2.891299963E0,-6.621899605E0,1.253600001E0,7.333531401E0
2.032330140E0,-2.380899906E0,-6.542999744E0,1.455699921E0,7.113268748E0
